Time: 49.79, Collision Actor ID: 46, Collision Actor Type: vehicle.audi.a2
Time: 39.07, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 15.8, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 21.97, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 38.91, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 64.41, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.96, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.02, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.73, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 117.49, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.6, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.18, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.54, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 41.99, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 35.57, Collision Actor ID: 39, Collision Actor Type: walker.pedestrian.0025
Time: 20.99, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.94, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.86, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 39.82, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 62.92, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.31, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 93.53, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.56, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.71, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.82, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.6, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.83, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 16.8, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 96.01, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 41.33, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 41.27, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 42.04, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 15.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.52, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 39.52, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 16.27, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.13, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.82, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.98, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 110.75, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 109.78, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 105.82, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 18.19, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.7, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 81.95, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.75, Collision Actor ID: 33, Collision Actor Type: vehicle.tesla.model3
Time: 43.46, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 43.26, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 43.11, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 40.53, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 42.98, Collision Actor ID: 51, Collision Actor Type: vehicle.audi.a2
Time: 37.38, Collision Actor ID: 0, Collision Actor Type: static.terrain
